"","sex","birth","marriage","religion","income","code_job","code_region"
"370",1,1977,1,1,557,411,1
"371",2,1978,1,1,500,243,1
"372",2,1980,1,1,NA,NA,7
"373",2,2006,0,1,NA,NA,1
"374",2,1950,2,1,NA,NA,1
"375",1,2008,0,1,NA,NA,1
"376",1,2016,0,1,NA,NA,1
"377",1,1980,1,2,341,730,7
"378",1,2010,0,2,NA,NA,7
"379",1,2013,0,2,NA,NA,7
"380",2,2016,0,2,NA,NA,7
"381",1,1948,1,2,266,772,1
"382",2,1950,1,1,30,941,1
"383",2,1976,1,1,NA,NA,1
"384",1,1977,5,2,300,223,1
"385",1,1973,1,1,400,231,1
"386",1,2008,0,1,NA,NA,1
"387",1,1968,1,2,NA,721,1
"388",2,1966,1,2,367,721,1
"389",1,1998,5,2,NA,NA,1
"390",2,2000,0,2,NA,NA,1
"391",1,1959,1,2,216,910,1
"392",2,1964,1,2,NA,NA,1
"393",2,1986,5,2,208,313,1
"394",2,1988,5,2,233,314,1
"395",1,1961,1,1,20,510,1
"396",2,1962,1,1,220,442,1
"397",2,1997,5,1,NA,999,1
"398",1,1998,5,1,74,432,1
"399",1,1939,1,1,NA,NA,2
"400",2,1940,1,1,NA,NA,2
"401",1,1945,1,2,NA,NA,1
"402",2,1949,1,2,NA,NA,1
"403",2,1979,1,2,427,285,1
"404",1,1978,1,2,512,510,1
"405",2,2010,0,2,NA,NA,1
"406",1,1973,1,2,NA,NA,1
"407",2,1969,1,2,333,259,1
"408",2,2007,0,1,NA,NA,1
"409",1,2009,0,1,NA,NA,1
"410",2,1957,3,2,200,722,1
"411",2,1987,5,2,170,392,1
"412",1,1991,5,2,NA,910,1
"413",1,1959,3,2,NA,NA,1
"414",1,1955,1,1,70,251,1
"415",2,1960,1,1,137,421,1
"416",1,1989,5,1,266,139,3
"417",1,1957,3,2,NA,530,1
"418",1,1989,5,2,NA,NA,1
"419",2,1934,2,2,NA,NA,1
"420",1,1952,3,2,NA,NA,1
"421",1,1960,1,1,NA,722,1
"422",2,1960,1,1,NA,722,1
"423",2,1988,1,2,206,442,2
"424",2,1993,5,1,NA,NA,1
"425",1,1984,1,2,408,442,2
"426",1,1972,1,1,500,780,1
"427",2,1973,1,1,220,259,1
"428",1,2000,0,1,NA,NA,1
"429",2,1944,2,2,NA,NA,1
"430",2,1971,5,2,NA,281,1
"431",2,1976,1,2,607,312,2
"432",1,1973,1,2,1082,235,2
"433",1,1950,1,1,NA,873,1
"434",2,1953,1,1,100,951,1
"435",1,1982,1,2,395,252,1
"436",2,1987,1,2,417,399,1
"437",1,2016,0,2,NA,NA,1
"438",2,1937,3,1,NA,NA,1
"439",1,1934,2,1,NA,NA,1
"440",1,1938,2,2,NA,NA,1
"441",2,1963,3,2,350,999,1
"442",2,1992,5,2,NA,NA,1
"443",2,1995,5,2,278,312,1
"444",1,1954,2,1,NA,NA,1
"445",2,1994,1,1,NA,NA,2
"446",1,1994,1,2,NA,NA,2
"447",2,2016,0,2,NA,NA,2
"448",1,1965,1,1,NA,772,1
"449",2,1969,1,1,212,930,1
"450",2,1992,5,1,146,314,1
"451",2,1993,5,1,140,422,1
"452",2,2000,0,1,NA,NA,1
"453",1,1970,1,2,288,873,1
"454",2,1971,1,2,200,930,1
"455",2,2001,0,2,NA,NA,1
"456",2,2003,0,2,NA,NA,1
"457",2,1944,3,1,20,941,1
"458",2,1950,3,1,80,930,1
"459",1,1971,2,2,180,149,1
"460",1,1997,5,2,NA,NA,1
"461",1,1932,1,1,NA,NA,1
"462",2,1936,1,1,NA,NA,1
"463",1,1957,1,2,NA,NA,2
"464",2,1958,1,2,NA,NA,2
"465",2,1979,1,2,NA,NA,2
"466",1,1983,5,2,NA,NA,2
"467",1,1975,1,2,500,246,2
"468",2,2009,0,2,NA,NA,2
"469",1,2012,0,2,NA,NA,2
"470",1,1962,1,2,240,891,1
"471",2,1964,1,2,NA,NA,1
"472",1,1990,5,2,180,221,1
"473",1,1994,5,2,180,874,1
"474",1,1952,1,2,150,992,1
"475",2,1957,1,2,NA,442,1
"476",1,1981,1,2,558,246,1
"477",2,1984,1,2,280,320,1
"478",2,1986,1,2,355,246,1
"479",1,2015,0,2,NA,NA,1
"480",1,1982,1,2,650,312,1
"481",1,1952,3,2,NA,NA,1
"482",1,1929,2,2,NA,NA,1
"483",1,1936,1,2,NA,NA,1
"484",2,1936,1,2,NA,NA,1
"485",1,1960,5,2,NA,NA,1
"486",1,1966,1,2,NA,823,1
"487",2,1966,1,2,NA,NA,1
"488",1,1938,1,1,NA,NA,1
"489",2,1939,1,1,NA,NA,1
"490",1,1960,1,2,NA,875,1
"491",2,1962,1,2,27,521,1
"492",1,1961,1,1,NA,159,1
"493",2,1968,1,1,220,259,1
"494",1,1998,5,1,96,521,1
"495",2,1999,5,1,NA,NA,1
"496",1,1964,1,1,429,248,5
"497",2,1975,1,1,53,999,5
"498",2,1997,5,1,NA,NA,5
"499",1,1999,5,1,NA,NA,5
"500",2,1942,3,1,NA,NA,1
"501",2,2008,0,1,NA,NA,5
"502",2,2011,0,1,NA,NA,5
"503",1,1974,1,2,374,773,2
"504",2,1981,1,2,NA,NA,2
"505",2,2007,0,1,NA,NA,2
"506",1,1940,1,1,NA,NA,1
"507",2,1943,1,1,NA,NA,1
"508",1,2000,0,1,NA,NA,1
"509",1,1968,3,1,NA,521,1
"510",1,1955,1,1,NA,874,1
"511",2,1961,1,1,187,951,1
"512",1,1961,1,2,300,892,1
"513",2,1961,1,1,NA,NA,1
"514",1,1938,1,1,NA,NA,1
"515",2,1943,1,1,NA,NA,1
"516",1,1979,1,2,433,312,2
"517",2,1983,1,2,NA,NA,2
"518",1,2010,0,2,NA,NA,2
"519",1,1945,1,1,NA,NA,2
"520",2,1953,1,1,130,951,2
"521",2,1946,2,2,NA,NA,1
"522",2,1947,4,2,NA,NA,1
"523",1,2001,0,2,NA,NA,1
